constructorId,position,points,year,RaceName,round,raceId
williams,7.0,2.0,2010,Spanish Grand Prix,5,2010_5
toro_rosso,8.0,1.0,2010,Spanish Grand Prix,5,2010_5
hrt,9.0,0.0,2010,Spanish Grand Prix,5,2010_5
lotus_racing,10.0,0.0,2010,Spanish Grand Prix,5,2010_5
sauber,11.0,0.0,2010,Spanish Grand Prix,5,2010_5
virgin,12.0,0.0,2010,Spanish Grand Prix,5,2010_5
red_bull,1.0,43.0,2010,Monaco Grand Prix,6,2010_6
ferrari,2.0,20.0,2010,Monaco Grand Prix,6,2010_6
renault,3.0,15.0,2010,Monaco Grand Prix,6,2010_6
mclaren,4.0,10.0,2010,Monaco Grand Prix,6,2010_6
force_india,5.0,6.0,2010,Monaco Grand Prix,6,2010_6
mercedes,6.0,6.0,2010,Monaco Grand Prix,6,2010_6
toro_rosso,7.0,1.0,2010,Monaco Grand Prix,6,2010_6
hrt,8.0,0.0,2010,Monaco Grand Prix,6,2010_6
lotus_racing,9.0,0.0,2010,Monaco Grand Prix,6,2010_6
sauber,10.0,0.0,2010,Monaco Grand Prix,6,2010_6
virgin,11.0,0.0,2010,Monaco Grand Prix,6,2010_6
williams,12.0,0.0,2010,Monaco Grand Prix,6,2010_6
mclaren,1.0,43.0,2010,Turkish Grand Prix,7,2010_7
mercedes,2.0,22.0,2010,Turkish Grand Prix,7,2010_7
red_bull,3.0,15.0,2010,Turkish Grand Prix,7,2010_7
ferrari,4.0,10.0,2010,Turkish Grand Prix,7,2010_7
renault,5.0,8.0,2010,Turkish Grand Prix,7,2010_7
force_india,6.0,2.0,2010,Turkish Grand Prix,7,2010_7
sauber,7.0,1.0,2010,Turkish Grand Prix,7,2010_7
hrt,8.0,0.0,2010,Turkish Grand Prix,7,2010_7
lotus_racing,9.0,0.0,2010,Turkish Grand Prix,7,2010_7
toro_rosso,10.0,0.0,2010,Turkish Grand Prix,7,2010_7
virgin,11.0,0.0,2010,Turkish Grand Prix,7,2010_7
williams,12.0,0.0,2010,Turkish Grand Prix,7,2010_7
mclaren,1.0,43.0,2010,Canadian Grand Prix,8,2010_8
red_bull,2.0,22.0,2010,Canadian Grand Prix,8,2010_8
ferrari,3.0,15.0,2010,Canadian Grand Prix,8,2010_8
mercedes,4.0,8.0,2010,Canadian Grand Prix,8,2010_8
renault,5.0,6.0,2010,Canadian Grand Prix,8,2010_8
toro_rosso,6.0,4.0,2010,Canadian Grand Prix,8,2010_8
force_india,7.0,3.0,2010,Canadian Grand Prix,8,2010_8
hrt,8.0,0.0,2010,Canadian Grand Prix,8,2010_8
lotus_racing,9.0,0.0,2010,Canadian Grand Prix,8,2010_8
sauber,10.0,0.0,2010,Canadian Grand Prix,8,2010_8
virgin,11.0,0.0,2010,Canadian Grand Prix,8,2010_8
williams,12.0,0.0,2010,Canadian Grand Prix,8,2010_8
mclaren,1.0,33.0,2010,European Grand Prix,9,2010_9
red_bull,2.0,25.0,2010,European Grand Prix,9,2010_9
williams,3.0,12.0,2010,European Grand Prix,9,2010_9
renault,4.0,10.0,2010,European Grand Prix,9,2010_9
force_india,5.0,8.0,2010,European Grand Prix,9,2010_9
sauber,6.0,6.0,2010,European Grand Prix,9,2010_9
ferrari,7.0,4.0,2010,European Grand Prix,9,2010_9
toro_rosso,8.0,2.0,2010,European Grand Prix,9,2010_9
mercedes,9.0,1.0,2010,European Grand Prix,9,2010_9
hrt,10.0,0.0,2010,European Grand Prix,9,2010_9
lotus_racing,11.0,0.0,2010,European Grand Prix,9,2010_9
virgin,12.0,0.0,2010,European Grand Prix,9,2010_9
red_bull,1.0,31.0,2010,British Grand Prix,10,2010_10
mclaren,2.0,30.0,2010,British Grand Prix,10,2010_10
mercedes,3.0,17.0,2010,British Grand Prix,10,2010_10
williams,4.0,11.0,2010,British Grand Prix,10,2010_10
sauber,5.0,8.0,2010,British Grand Prix,10,2010_10
force_india,6.0,4.0,2010,British Grand Prix,10,2010_10
ferrari,7.0,0.0,2010,British Grand Prix,10,2010_10
hrt,8.0,0.0,2010,British Grand Prix,10,2010_10
lotus_racing,9.0,0.0,2010,British Grand Prix,10,2010_10
renault,10.0,0.0,2010,British Grand Prix,10,2010_10
toro_rosso,11.0,0.0,2010,British Grand Prix,10,2010_10
virgin,12.0,0.0,2010,British Grand Prix,10,2010_10
ferrari,1.0,43.0,2010,German Grand Prix,11,2010_11
red_bull,2.0,23.0,2010,German Grand Prix,11,2010_11
mclaren,3.0,22.0,2010,German Grand Prix,11,2010_11
renault,4.0,7.0,2010,German Grand Prix,11,2010_11
mercedes,5.0,6.0,2010,German Grand Prix,11,2010_11
force_india,6.0,0.0,2010,German Grand Prix,11,2010_11
hrt,7.0,0.0,2010,German Grand Prix,11,2010_11
lotus_racing,8.0,0.0,2010,German Grand Prix,11,2010_11
sauber,9.0,0.0,2010,German Grand Prix,11,2010_11
toro_rosso,10.0,0.0,2010,German Grand Prix,11,2010_11
virgin,11.0,0.0,2010,German Grand Prix,11,2010_11
williams,12.0,0.0,2010,German Grand Prix,11,2010_11
red_bull,1.0,40.0,2010,Hungarian Grand Prix,12,2010_12
ferrari,2.0,30.0,2010,Hungarian Grand Prix,12,2010_12
renault,3.0,10.0,2010,Hungarian Grand Prix,12,2010_12
williams,4.0,9.0,2010,Hungarian Grand Prix,12,2010_12
sauber,5.0,8.0,2010,Hungarian Grand Prix,12,2010_12
mclaren,6.0,4.0,2010,Hungarian Grand Prix,12,2010_12
force_india,7.0,0.0,2010,Hungarian Grand Prix,12,2010_12
hrt,8.0,0.0,2010,Hungarian Grand Prix,12,2010_12
lotus_racing,9.0,0.0,2010,Hungarian Grand Prix,12,2010_12
mercedes,10.0,0.0,2010,Hungarian Grand Prix,12,2010_12
toro_rosso,11.0,0.0,2010,Hungarian Grand Prix,12,2010_12
virgin,12.0,0.0,2010,Hungarian Grand Prix,12,2010_12
mclaren,1.0,25.0,2010,Belgian Grand Prix,13,2010_13
red_bull,2.0,18.0,2010,Belgian Grand Prix,13,2010_13
renault,3.0,17.0,2010,Belgian Grand Prix,13,2010_13
mercedes,4.0,14.0,2010,Belgian Grand Prix,13,2010_13
ferrari,5.0,12.0,2010,Belgian Grand Prix,13,2010_13
force_india,6.0,11.0,2010,Belgian Grand Prix,13,2010_13
sauber,7.0,4.0,2010,Belgian Grand Prix,13,2010_13
hrt,8.0,0.0,2010,Belgian Grand Prix,13,2010_13
lotus_racing,9.0,0.0,2010,Belgian Grand Prix,13,2010_13
toro_rosso,10.0,0.0,2010,Belgian Grand Prix,13,2010_13
virgin,11.0,0.0,2010,Belgian Grand Prix,13,2010_13
williams,12.0,0.0,2010,Belgian Grand Prix,13,2010_13
ferrari,1.0,40.0,2010,Italian Grand Prix,14,2010_14
red_bull,2.0,20.0,2010,Italian Grand Prix,14,2010_14
mclaren,3.0,18.0,2010,Italian Grand Prix,14,2010_14
mercedes,4.0,12.0,2010,Italian Grand Prix,14,2010_14
williams,5.0,7.0,2010,Italian Grand Prix,14,2010_14
renault,6.0,4.0,2010,Italian Grand Prix,14,2010_14
force_india,7.0,0.0,2010,Italian Grand Prix,14,2010_14
hrt,8.0,0.0,2010,Italian Grand Prix,14,2010_14
lotus_racing,9.0,0.0,2010,Italian Grand Prix,14,2010_14
sauber,10.0,0.0,2010,Italian Grand Prix,14,2010_14
toro_rosso,11.0,0.0,2010,Italian Grand Prix,14,2010_14
virgin,12.0,0.0,2010,Italian Grand Prix,14,2010_14
red_bull,1.0,33.0,2010,Singapore Grand Prix,15,2010_15
ferrari,2.0,29.0,2010,Singapore Grand Prix,15,2010_15
mclaren,3.0,12.0,2010,Singapore Grand Prix,15,2010_15
mercedes,4.0,10.0,2010,Singapore Grand Prix,15,2010_15
williams,5.0,9.0,2010,Singapore Grand Prix,15,2010_15
renault,6.0,6.0,2010,Singapore Grand Prix,15,2010_15
force_india,7.0,2.0,2010,Singapore Grand Prix,15,2010_15
hrt,8.0,0.0,2010,Singapore Grand Prix,15,2010_15
lotus_racing,9.0,0.0,2010,Singapore Grand Prix,15,2010_15
sauber,10.0,0.0,2010,Singapore Grand Prix,15,2010_15
toro_rosso,11.0,0.0,2010,Singapore Grand Prix,15,2010_15
virgin,12.0,0.0,2010,Singapore Grand Prix,15,2010_15
red_bull,1.0,43.0,2010,Japanese Grand Prix,16,2010_16
mclaren,2.0,22.0,2010,Japanese Grand Prix,16,2010_16
ferrari,3.0,15.0,2010,Japanese Grand Prix,16,2010_16
sauber,4.0,10.0,2010,Japanese Grand Prix,16,2010_16
mercedes,5.0,8.0,2010,Japanese Grand Prix,16,2010_16
williams,6.0,2.0,2010,Japanese Grand Prix,16,2010_16
toro_rosso,7.0,1.0,2010,Japanese Grand Prix,16,2010_16
force_india,8.0,0.0,2010,Japanese Grand Prix,16,2010_16
hrt,9.0,0.0,2010,Japanese Grand Prix,16,2010_16
lotus_racing,10.0,0.0,2010,Japanese Grand Prix,16,2010_16
renault,11.0,0.0,2010,Japanese Grand Prix,16,2010_16
virgin,12.0,0.0,2010,Japanese Grand Prix,16,2010_16
ferrari,1.0,40.0,2010,Korean Grand Prix,17,2010_17
mclaren,2.0,18.0,2010,Korean Grand Prix,17,2010_17
mercedes,3.0,12.0,2010,Korean Grand Prix,17,2010_17
renault,4.0,10.0,2010,Korean Grand Prix,17,2010_17
force_india,5.0,8.0,2010,Korean Grand Prix,17,2010_17
williams,6.0,7.0,2010,Korean Grand Prix,17,2010_17
sauber,7.0,6.0,2010,Korean Grand Prix,17,2010_17
hrt,8.0,0.0,2010,Korean Grand Prix,17,2010_17
lotus_racing,9.0,0.0,2010,Korean Grand Prix,17,2010_17
red_bull,10.0,0.0,2010,Korean Grand Prix,17,2010_17
toro_rosso,11.0,0.0,2010,Korean Grand Prix,17,2010_17
virgin,12.0,0.0,2010,Korean Grand Prix,17,2010_17
red_bull,1.0,43.0,2010,Brazilian Grand Prix,18,2010_18
mclaren,2.0,22.0,2010,Brazilian Grand Prix,18,2010_18
ferrari,3.0,15.0,2010,Brazilian Grand Prix,18,2010_18
mercedes,4.0,14.0,2010,Brazilian Grand Prix,18,2010_18
williams,5.0,4.0,2010,Brazilian Grand Prix,18,2010_18
renault,6.0,2.0,2010,Brazilian Grand Prix,18,2010_18
sauber,7.0,1.0,2010,Brazilian Grand Prix,18,2010_18
force_india,8.0,0.0,2010,Brazilian Grand Prix,18,2010_18
hrt,9.0,0.0,2010,Brazilian Grand Prix,18,2010_18
lotus_racing,10.0,0.0,2010,Brazilian Grand Prix,18,2010_18
toro_rosso,11.0,0.0,2010,Brazilian Grand Prix,18,2010_18
virgin,12.0,0.0,2010,Brazilian Grand Prix,18,2010_18
mclaren,1.0,33.0,2010,Abu Dhabi Grand Prix,19,2010_19
red_bull,2.0,29.0,2010,Abu Dhabi Grand Prix,19,2010_19
renault,3.0,18.0,2010,Abu Dhabi Grand Prix,19,2010_19
mercedes,4.0,12.0,2010,Abu Dhabi Grand Prix,19,2010_19
ferrari,5.0,7.0,2010,Abu Dhabi Grand Prix,19,2010_19
toro_rosso,6.0,2.0,2010,Abu Dhabi Grand Prix,19,2010_19
force_india,7.0,0.0,2010,Abu Dhabi Grand Prix,19,2010_19
hrt,8.0,0.0,2010,Abu Dhabi Grand Prix,19,2010_19
lotus_racing,9.0,0.0,2010,Abu Dhabi Grand Prix,19,2010_19
sauber,10.0,0.0,2010,Abu Dhabi Grand Prix,19,2010_19
virgin,11.0,0.0,2010,Abu Dhabi Grand Prix,19,2010_19
williams,12.0,0.0,2010,Abu Dhabi Grand Prix,19,2010_19
red_bull,1.0,35.0,2011,Australian Grand Prix,1,2011_1
mclaren,2.0,26.0,2011,Australian Grand Prix,1,2011_1
ferrari,3.0,18.0,2011,Australian Grand Prix,1,2011_1
renault,4.0,15.0,2011,Australian Grand Prix,1,2011_1
toro_rosso,5.0,4.0,2011,Australian Grand Prix,1,2011_1
force_india,6.0,3.0,2011,Australian Grand Prix,1,2011_1
hrt,7.0,0.0,2011,Australian Grand Prix,1,2011_1
lotus_racing,8.0,0.0,2011,Australian Grand Prix,1,2011_1
mercedes,9.0,0.0,2011,Australian Grand Prix,1,2011_1
sauber,10.0,0.0,2011,Australian Grand Prix,1,2011_1
virgin,11.0,0.0,2011,Australian Grand Prix,1,2011_1
williams,12.0,0.0,2011,Australian Grand Prix,1,2011_1
red_bull,1.0,37.0,2011,Malaysian Grand Prix,2,2011_2
mclaren,2.0,22.0,2011,Malaysian Grand Prix,2,2011_2
ferrari,3.0,18.0,2011,Malaysian Grand Prix,2,2011_2
renault,4.0,15.0,2011,Malaysian Grand Prix,2,2011_2
sauber,5.0,6.0,2011,Malaysian Grand Prix,2,2011_2
mercedes,6.0,2.0,2011,Malaysian Grand Prix,2,2011_2
force_india,7.0,1.0,2011,Malaysian Grand Prix,2,2011_2
hrt,8.0,0.0,2011,Malaysian Grand Prix,2,2011_2
lotus_racing,9.0,0.0,2011,Malaysian Grand Prix,2,2011_2
toro_rosso,10.0,0.0,2011,Malaysian Grand Prix,2,2011_2
virgin,11.0,0.0,2011,Malaysian Grand Prix,2,2011_2
williams,12.0,0.0,2011,Malaysian Grand Prix,2,2011_2
mclaren,1.0,37.0,2011,Chinese Grand Prix,3,2011_3
red_bull,2.0,33.0,2011,Chinese Grand Prix,3,2011_3
ferrari,3.0,14.0,2011,Chinese Grand Prix,3,2011_3
mercedes,4.0,14.0,2011,Chinese Grand Prix,3,2011_3
renault,5.0,2.0,2011,Chinese Grand Prix,3,2011_3
sauber,6.0,1.0,2011,Chinese Grand Prix,3,2011_3
force_india,7.0,0.0,2011,Chinese Grand Prix,3,2011_3
hrt,8.0,0.0,2011,Chinese Grand Prix,3,2011_3
lotus_racing,9.0,0.0,2011,Chinese Grand Prix,3,2011_3
toro_rosso,10.0,0.0,2011,Chinese Grand Prix,3,2011_3
virgin,11.0,0.0,2011,Chinese Grand Prix,3,2011_3
williams,12.0,0.0,2011,Chinese Grand Prix,3,2011_3
red_bull,1.0,43.0,2011,Turkish Grand Prix,4,2011_4
mclaren,2.0,20.0,2011,Turkish Grand Prix,4,2011_4
ferrari,3.0,15.0,2011,Turkish Grand Prix,4,2011_4
mercedes,4.0,10.0,2011,Turkish Grand Prix,4,2011_4
renault,5.0,10.0,2011,Turkish Grand Prix,4,2011_4
toro_rosso,6.0,2.0,2011,Turkish Grand Prix,4,2011_4
sauber,7.0,1.0,2011,Turkish Grand Prix,4,2011_4
force_india,8.0,0.0,2011,Turkish Grand Prix,4,2011_4
hrt,9.0,0.0,2011,Turkish Grand Prix,4,2011_4
lotus_racing,10.0,0.0,2011,Turkish Grand Prix,4,2011_4
virgin,11.0,0.0,2011,Turkish Grand Prix,4,2011_4
williams,12.0,0.0,2011,Turkish Grand Prix,4,2011_4
red_bull,1.0,37.0,2011,Spanish Grand Prix,5,2011_5
mclaren,2.0,33.0,2011,Spanish Grand Prix,5,2011_5
mercedes,3.0,14.0,2011,Spanish Grand Prix,5,2011_5
ferrari,4.0,10.0,2011,Spanish Grand Prix,5,2011_5
renault,5.0,4.0,2011,Spanish Grand Prix,5,2011_5
sauber,6.0,3.0,2011,Spanish Grand Prix,5,2011_5
force_india,7.0,0.0,2011,Spanish Grand Prix,5,2011_5
hrt,8.0,0.0,2011,Spanish Grand Prix,5,2011_5
lotus_racing,9.0,0.0,2011,Spanish Grand Prix,5,2011_5
toro_rosso,10.0,0.0,2011,Spanish Grand Prix,5,2011_5
virgin,11.0,0.0,2011,Spanish Grand Prix,5,2011_5
williams,12.0,0.0,2011,Spanish Grand Prix,5,2011_5
red_bull,1.0,37.0,2011,Monaco Grand Prix,6,2011_6
mclaren,2.0,23.0,2011,Monaco Grand Prix,6,2011_6
ferrari,3.0,18.0,2011,Monaco Grand Prix,6,2011_6
sauber,4.0,10.0,2011,Monaco Grand Prix,6,2011_6
force_india,5.0,6.0,2011,Monaco Grand Prix,6,2011_6
renault,6.0,4.0,2011,Monaco Grand Prix,6,2011_6
williams,7.0,2.0,2011,Monaco Grand Prix,6,2011_6
toro_rosso,8.0,1.0,2011,Monaco Grand Prix,6,2011_6
hrt,9.0,0.0,2011,Monaco Grand Prix,6,2011_6
lotus_racing,10.0,0.0,2011,Monaco Grand Prix,6,2011_6
mercedes,11.0,0.0,2011,Monaco Grand Prix,6,2011_6
virgin,12.0,0.0,2011,Monaco Grand Prix,6,2011_6
red_bull,1.0,33.0,2011,Canadian Grand Prix,7,2011_7
mclaren,2.0,25.0,2011,Canadian Grand Prix,7,2011_7
mercedes,3.0,12.0,2011,Canadian Grand Prix,7,2011_7
renault,4.0,10.0,2011,Canadian Grand Prix,7,2011_7
ferrari,5.0,8.0,2011,Canadian Grand Prix,7,2011_7
sauber,6.0,6.0,2011,Canadian Grand Prix,7,2011_7
toro_rosso,7.0,5.0,2011,Canadian Grand Prix,7,2011_7
williams,8.0,2.0,2011,Canadian Grand Prix,7,2011_7
force_india,9.0,0.0,2011,Canadian Grand Prix,7,2011_7
hrt,10.0,0.0,2011,Canadian Grand Prix,7,2011_7
lotus_racing,11.0,0.0,2011,Canadian Grand Prix,7,2011_7
virgin,12.0,0.0,2011,Canadian Grand Prix,7,2011_7
red_bull,1.0,40.0,2011,European Grand Prix,8,2011_8
ferrari,2.0,28.0,2011,European Grand Prix,8,2011_8
mclaren,3.0,20.0,2011,European Grand Prix,8,2011_8
mercedes,4.0,6.0,2011,European Grand Prix,8,2011_8
toro_rosso,5.0,4.0,2011,European Grand Prix,8,2011_8
force_india,6.0,2.0,2011,European Grand Prix,8,2011_8
renault,7.0,1.0,2011,European Grand Prix,8,2011_8
hrt,8.0,0.0,2011,European Grand Prix,8,2011_8
lotus_racing,9.0,0.0,2011,European Grand Prix,8,2011_8
sauber,10.0,0.0,2011,European Grand Prix,8,2011_8
virgin,11.0,0.0,2011,European Grand Prix,8,2011_8
williams,12.0,0.0,2011,European Grand Prix,8,2011_8
ferrari,1.0,35.0,2011,British Grand Prix,9,2011_9
red_bull,2.0,33.0,2011,British Grand Prix,9,2011_9
mclaren,3.0,12.0,2011,British Grand Prix,9,2011_9
mercedes,4.0,10.0,2011,British Grand Prix,9,2011_9
sauber,5.0,6.0,2011,British Grand Prix,9,2011_9
renault,6.0,4.0,2011,British Grand Prix,9,2011_9
toro_rosso,7.0,1.0,2011,British Grand Prix,9,2011_9
force_india,8.0,0.0,2011,British Grand Prix,9,2011_9
hrt,9.0,0.0,2011,British Grand Prix,9,2011_9
lotus_racing,10.0,0.0,2011,British Grand Prix,9,2011_9
virgin,11.0,0.0,2011,British Grand Prix,9,2011_9
williams,12.0,0.0,2011,British Grand Prix,9,2011_9
ferrari,1.0,28.0,2011,German Grand Prix,10,2011_10
red_bull,2.0,27.0,2011,German Grand Prix,10,2011_10
mclaren,3.0,25.0,2011,German Grand Prix,10,2011_10
mercedes,4.0,10.0,2011,German Grand Prix,10,2011_10
force_india,5.0,8.0,2011,German Grand Prix,10,2011_10
sauber,6.0,2.0,2011,German Grand Prix,10,2011_10
renault,7.0,1.0,2011,German Grand Prix,10,2011_10
hrt,8.0,0.0,2011,German Grand Prix,10,2011_10
lotus_racing,9.0,0.0,2011,German Grand Prix,10,2011_10
toro_rosso,10.0,0.0,2011,German Grand Prix,10,2011_10
virgin,11.0,0.0,2011,German Grand Prix,10,2011_10
williams,12.0,0.0,2011,German Grand Prix,10,2011_10
mclaren,1.0,37.0,2011,Hungarian Grand Prix,11,2011_11
red_bull,2.0,28.0,2011,Hungarian Grand Prix,11,2011_11
ferrari,3.0,23.0,2011,Hungarian Grand Prix,11,2011_11
force_india,4.0,6.0,2011,Hungarian Grand Prix,11,2011_11
toro_rosso,5.0,5.0,2011,Hungarian Grand Prix,11,2011_11
mercedes,6.0,2.0,2011,Hungarian Grand Prix,11,2011_11
hrt,7.0,0.0,2011,Hungarian Grand Prix,11,2011_11
lotus_racing,8.0,0.0,2011,Hungarian Grand Prix,11,2011_11
renault,9.0,0.0,2011,Hungarian Grand Prix,11,2011_11
sauber,10.0,0.0,2011,Hungarian Grand Prix,11,2011_11
virgin,11.0,0.0,2011,Hungarian Grand Prix,11,2011_11
williams,12.0,0.0,2011,Hungarian Grand Prix,11,2011_11
red_bull,1.0,43.0,2011,Belgian Grand Prix,12,2011_12
mercedes,2.0,18.0,2011,Belgian Grand Prix,12,2011_12
ferrari,3.0,16.0,2011,Belgian Grand Prix,12,2011_12
mclaren,4.0,15.0,2011,Belgian Grand Prix,12,2011_12
force_india,5.0,6.0,2011,Belgian Grand Prix,12,2011_12
renault,6.0,2.0,2011,Belgian Grand Prix,12,2011_12
williams,7.0,1.0,2011,Belgian Grand Prix,12,2011_12
hrt,8.0,0.0,2011,Belgian Grand Prix,12,2011_12
lotus_racing,9.0,0.0,2011,Belgian Grand Prix,12,2011_12
sauber,10.0,0.0,2011,Belgian Grand Prix,12,2011_12
toro_rosso,11.0,0.0,2011,Belgian Grand Prix,12,2011_12
virgin,12.0,0.0,2011,Belgian Grand Prix,12,2011_12
mclaren,1.0,30.0,2011,Italian Grand Prix,13,2011_13
red_bull,2.0,25.0,2011,Italian Grand Prix,13,2011_13
ferrari,3.0,23.0,2011,Italian Grand Prix,13,2011_13
mercedes,4.0,10.0,2011,Italian Grand Prix,13,2011_13
toro_rosso,5.0,7.0,2011,Italian Grand Prix,13,2011_13
force_india,6.0,4.0,2011,Italian Grand Prix,13,2011_13
renault,7.0,2.0,2011,Italian Grand Prix,13,2011_13
hrt,8.0,0.0,2011,Italian Grand Prix,13,2011_13
lotus_racing,9.0,0.0,2011,Italian Grand Prix,13,2011_13
sauber,10.0,0.0,2011,Italian Grand Prix,13,2011_13
virgin,11.0,0.0,2011,Italian Grand Prix,13,2011_13
williams,12.0,0.0,2011,Italian Grand Prix,13,2011_13
red_bull,1.0,40.0,2011,Singapore Grand Prix,14,2011_14
mclaren,2.0,28.0,2011,Singapore Grand Prix,14,2011_14
ferrari,3.0,14.0,2011,Singapore Grand Prix,14,2011_14
force_india,4.0,12.0,2011,Singapore Grand Prix,14,2011_14
mercedes,5.0,6.0,2011,Singapore Grand Prix,14,2011_14
sauber,6.0,1.0,2011,Singapore Grand Prix,14,2011_14
hrt,7.0,0.0,2011,Singapore Grand Prix,14,2011_14
lotus_racing,8.0,0.0,2011,Singapore Grand Prix,14,2011_14
renault,9.0,0.0,2011,Singapore Grand Prix,14,2011_14
toro_rosso,10.0,0.0,2011,Singapore Grand Prix,14,2011_14
virgin,11.0,0.0,2011,Singapore Grand Prix,14,2011_14
williams,12.0,0.0,2011,Singapore Grand Prix,14,2011_14
mclaren,1.0,35.0,2011,Japanese Grand Prix,15,2011_15
red_bull,2.0,27.0,2011,Japanese Grand Prix,15,2011_15
ferrari,3.0,24.0,2011,Japanese Grand Prix,15,2011_15
mercedes,4.0,9.0,2011,Japanese Grand Prix,15,2011_15
sauber,5.0,4.0,2011,Japanese Grand Prix,15,2011_15
renault,6.0,2.0,2011,Japanese Grand Prix,15,2011_15
force_india,7.0,0.0,2011,Japanese Grand Prix,15,2011_15
hrt,8.0,0.0,2011,Japanese Grand Prix,15,2011_15
lotus_racing,9.0,0.0,2011,Japanese Grand Prix,15,2011_15
toro_rosso,10.0,0.0,2011,Japanese Grand Prix,15,2011_15
virgin,11.0,0.0,2011,Japanese Grand Prix,15,2011_15
williams,12.0,0.0,2011,Japanese Grand Prix,15,2011_15
red_bull,1.0,40.0,2011,Korean Grand Prix,16,2011_16
mclaren,2.0,30.0,2011,Korean Grand Prix,16,2011_16
ferrari,3.0,18.0,2011,Korean Grand Prix,16,2011_16
toro_rosso,4.0,8.0,2011,Korean Grand Prix,16,2011_16
mercedes,5.0,4.0,2011,Korean Grand Prix,16,2011_16
force_india,6.0,1.0,2011,Korean Grand Prix,16,2011_16
hrt,7.0,0.0,2011,Korean Grand Prix,16,2011_16
lotus_racing,8.0,0.0,2011,Korean Grand Prix,16,2011_16
renault,9.0,0.0,2011,Korean Grand Prix,16,2011_16
sauber,10.0,0.0,2011,Korean Grand Prix,16,2011_16
virgin,11.0,0.0,2011,Korean Grand Prix,16,2011_16
